Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m2_o10_o16_pcu_sym.28                           str_m2_o10_o16_pcu_s_ID_118                         828               94.1200,77.5100,103.0800    22.2590,26.1450,26.8870      1,1,1         C,H,N,Cu,O,Br       
str_m2_o10_o16_pcu_sym.29                           str_m2_o10_o16_pcu_s_ID_119                         828               94.0000,77.3700,103.0300    22.2890,26.1740,26.6720      1,1,1         C,H,N,Cu,O,Cl       
str_m2_o10_o16_pcu_sym.3                            str_m2_o10_o16_pcu_s_ID_120                         1008              94.0400,78.7700,103.1100    22.5130,26.0440,26.6490      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.30                           str_m2_o10_o16_pcu_s_ID_121                         810               94.4100,77.5800,103.2800    22.3580,26.0740,26.8070      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.31                           str_m2_o10_o16_pcu_s_ID_122                         936               93.8100,77.3700,103.0300    22.2920,26.1360,26.7540      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.32                           str_m2_o10_o16_pcu_s_ID_123                         990               95.0800,77.3700,103.4200    22.4000,26.0350,26.6620      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.33                           str_m2_o10_o16_pcu_s_ID_124                         1044              93.9700,77.0100,103.2500    22.2600,26.0360,26.7140      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.34                           str_m2_o10_o16_pcu_s_ID_125                         828               94.2700,78.1700,103.0400    22.3040,26.0630,27.1250      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.35                           str_m2_o10_o16_pcu_s_ID_126                         936               96.8300,78.0700,103.2600    22.5520,26.2970,26.8180      1,1,1         C,H,N,Cu,O,S,F      
str_m2_o10_o16_pcu_sym.36                           str_m2_o10_o16_pcu_s_ID_127                         1296              96.1300,79.3100,102.6000    22.5890,26.2430,27.0340      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.37                           str_m2_o10_o16_pcu_s_ID_128                         828               94.1000,77.4200,103.0900    22.2740,26.1580,26.8110      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.38                           str_m2_o10_o16_pcu_s_ID_129                         846               94.9000,77.4800,103.4200    22.4700,26.0950,26.7870      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.39                           str_m2_o10_o16_pcu_s_ID_130                         1170              94.9100,78.5000,102.6200    22.3580,26.2390,26.9390      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.4                            str_m2_o10_o16_pcu_s_ID_131                         792               94.0400,77.4400,103.1100    22.2960,26.0820,26.8180      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.40                           str_m2_o10_o16_pcu_s_ID_132                         972               94.7600,79.3800,102.5500    22.4350,26.0800,27.1430      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.41                           str_m2_o10_o16_pcu_s_ID_133                         954               94.7700,78.4000,103.2600    22.4970,26.0810,26.8180      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.42                           str_m2_o10_o16_pcu_s_ID_134                         792               94.0000,77.4400,102.9500    22.2650,26.1500,26.8120      1,1,1         C,H,N,Br,Cu,O       
str_m2_o10_o16_pcu_sym.43                           str_m2_o10_o16_pcu_s_ID_135                         1170              94.7300,78.1500,103.1200    22.6310,25.9920,26.5400      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.44                           str_m2_o10_o16_pcu_s_ID_136                         1206              94.4800,77.6500,102.0200    22.4040,26.1200,26.8740      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.45                           str_m2_o10_o16_pcu_s_ID_137                         1170              94.3900,77.5500,102.9000    22.3950,26.1040,26.7490      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.46                           str_m2_o10_o16_pcu_s_ID_138                         792               93.9800,77.4500,102.9100    22.2610,26.1240,26.8110      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.47                           str_m2_o10_o16_pcu_s_ID_139                         792               94.0300,77.3400,103.1300    22.2960,26.0830,26.7710      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.48                           str_m2_o10_o16_pcu_s_ID_140                         828               94.0000,77.3200,103.1400    22.2970,26.0760,26.7630      1,1,1         C,H,N,Cu,O          
